idatracacao,OCOR
735424,1
735434,2
735460,1
735461,2
735462,1
735463,1
735790,1
735791,4
735794,3
735796,1
735797,2
735801,2
735803,1
735807,1
735811,1
735887,1
735894,1
735896,1
736235,2
736237,1
736937,2
736939,1
736941,1
736942,2
736955,1
736957,1
736958,1
736964,4
736968,2
737517,1
737518,1
737520,1
737677,1
737678,2
738130,1
738133,2
738134,1
738136,1
738310,1
738389,1
738390,1
738914,1
738917,1
738918,1
738920,1
739088,1
739095,1
739097,1
739363,1
739371,1
739378,1
739710,1
739765,1
739767,1
740544,1
740547,1
740851,1
740852,1
740853,1
740854,1
740857,1
741083,1
741084,1
741085,1
741088,1
741089,1
741128,1
741137,1
741138,1
741913,1
741916,1
741917,1
742186,1
742187,1
742188,1
742189,1
742193,1
742196,1
742197,1
742243,1
742245,1
742246,1
742248,1
742322,1
742325,1
742543,1
742980,1
742983,1
742984,1
743215,1
744658,1
744659,1
744665,1
744666,1
744700,1
744702,1
744741,1
744744,1
745398,1
745402,1
745408,1
745424,1
745430,1
745455,1
745543,1
745587,1
745630,1
745637,1
745642,1
745644,1
745789,1
745790,1
745792,1
745794,1
746071,1
746075,1
746077,1
746078,1
746081,1
746082,1
746084,1
746087,1
746091,1
746112,1
746123,1
746129,1
746434,1
746435,1
746535,1
746851,1
747341,1
747344,1
747345,1
747346,1
747442,1
747444,1
747445,1
747446,1
747449,1
747450,1
747453,1
747455,1
747456,1
747458,1
747460,1
747646,1
747647,1
747662,1
747663,1
747710,1
747712,1
747737,1
747740,1
748204,1
748207,1
748208,1
748209,1
748213,1
748215,1
748216,1
748217,1
748220,1
748221,1
748225,1
748227,1
748576,1
748577,1
748579,1
748581,1
748583,1
748584,1
748599,1
750510,1
750736,1
750740,1
750774,1
750847,1
750866,1
751470,1
751502,1
751508,1
751511,1
751525,1
751526,1
751527,1
751533,1
751536,1
751537,1
751540,1
751544,1
751545,1
751550,1
751554,1
751564,1
751565,1
751567,1
751571,1
751573,1
751576,1
751580,1
751581,1
751584,1
751594,1
751839,1
751840,1
751889,1
751984,1
752221,1
752732,1
752733,1
753039,1
753040,1
753041,1
753042,1
753215,1
753348,1
753349,1
753384,1
753535,1
753537,1
753540,1
753555,1
753569,1
753571,1
753572,1
753603,1
753607,1
753611,1
753613,1
753864,1
753866,1
753868,1
753976,1
754006,1
754207,1
754208,1
754472,1
754473,1
754474,1
754476,1
754572,1
754573,1
754574,1
754582,1
754597,1
754599,1
754708,1
754727,1
754832,1
754833,1
754836,1
755114,1
755116,1
755117,1
755522,1
755525,1
755796,1
756221,1
756222,1
756223,1
756225,1
756226,1
756227,1
756228,1
756232,1
756657,1
756658,1
756661,1
756662,1
757021,1
757022,1
757031,1
757154,1
757430,1
757436,1
757441,1
757451,1
757481,1
757505,1
757507,1
757567,1
757619,1
759529,1
759531,1
759532,1
759535,1
759537,1
759540,1
759542,1
759543,1
759546,1
759549,1
759550,1
759552,1
759553,1
759556,1
759557,1
759559,1
759561,1
759564,1
759565,1
759566,1
759569,1
759573,1
759574,1
759575,1
759667,1
759668,1
759670,1
759681,1
759682,1
759684,1
759685,1
759694,1
759750,1
759775,1
759779,1
759781,1
759825,1
759869,1
759885,1
759949,1
760091,1
760203,1
760204,1
760205,1
760400,1
760403,1
760404,1
760405,1
760417,1
760560,1
760561,1
760563,1
760564,1
760568,1
760570,1
760571,1
760572,1
760573,1
760626,1
760627,1
760628,1
760630,1
760632,1
760759,1
760773,1
760774,1
760775,1
760777,1
760779,1
760948,1
760949,1
760950,1
760951,1
760952,1
761094,1
761097,1
761217,1
761311,1
761312,1
761313,1
761726,1
761730,1
761742,1
761743,1
761745,1
761746,1
761747,1
761836,1
761837,1
761838,1
762195,1
762199,1
762201,1
762331,1
762999,1
763003,1
763116,1
763125,1
763137,1
763155,1
763175,1
763176,1
763342,1
763343,1
763344,1
763524,1
763526,1
763527,1
763528,1
763991,1
763992,1
764045,1
764046,1
764049,1
764051,1
764053,1
764471,1
764472,1
764474,1
764475,1
764881,1
764929,1
765395,1
765808,1
765810,1
765811,1
765814,1
765815,1
765816,1
766109,1
766110,1
766111,1
766112,1
766114,1
766118,1
766237,1
766238,1
766314,1
766315,1
766318,1
766565,1
766692,1
766697,1
766738,1
766739,1
766741,1
766743,1
766745,1
766746,1
766747,1
766749,1
766751,1
766752,1
766753,1
766755,1
766922,1
767078,1
767079,1
767081,1
767083,1
767281,1
767282,1
767286,1
767310,1
767336,1
768126,1
768330,1
768337,1
768340,1
768348,1
768545,1
768546,1
768547,1
768799,1
768800,1
768802,1
768803,1
768805,1
768852,1
768853,1
768854,1
768873,1
768875,1
769056,1
769312,1
769320,1
769663,1
769665,1
770271,1
770279,1
770280,1
770282,1
770725,1
770730,1
770733,1
771120,1
771121,1
771145,1
771146,1
771147,1
771148,1
771149,1
771244,1
771249,1
771268,1
771756,1
771757,1
771849,1
771850,1
771851,1
771852,1
771960,1
771993,1
771997,1
771999,1
772059,1
772099,1
772100,1
772101,1
772102,1
772457,1
772458,1
772462,1
772463,1
772465,1
772467,1
772469,1
772679,1
772680,1
772683,1
772684,1
772841,1
772845,1
772847,1
772928,1
772930,1
772932,1
772934,1
772974,1
772992,1
773103,1
773104,1
773105,1
773112,1
773404,1
773622,1
773626,1
773672,1
773704,1
773705,1
773855,1
773861,1
773868,1
773911,1
774110,1
774113,1
774114,1
774115,1
774117,1
774119,1
774120,1
774121,1
774184,1
774185,1
774186,1
774611,1
774612,1
775033,1
775454,1
775659,1
775660,1
775661,1
775662,1
776190,1
776193,1
776194,1
776218,1
776219,1
776221,1
776225,1
776903,1
776904,1
776907,1
777623,1
777626,1
777627,1
777628,1
777632,1
777633,1
777634,1
777635,1
777638,1
777745,1
777746,1
777749,1
777823,1
777825,1
777826,1
777827,1
777835,1
777853,1
777933,1
777935,1
777936,1
778020,1
778021,1
778024,1
778025,1
778123,1
778124,1
778125,1
778204,1
778207,1
778208,1
778210,1
778392,1
778393,1
778396,1
778405,1
778471,1
778472,1
778475,1
778476,1
778597,1
778605,1
778713,1
778736,1
778807,1
778810,1
779412,1
779413,1
779414,1
779416,1
779418,1
779646,1
779758,1
779913,1
779915,1
779916,1
779943,1
780259,1
780440,1
780441,1
780442,1
780928,1
780931,1
780932,1
781054,1
781059,1
781062,1
781527,1
781530,1
781532,1
781536,1
781540,1
781544,1
781547,1
781970,1
781971,1
782153,1
782242,1
782294,1
782298,1
782575,1
782580,1
782582,1
782869,1
782893,1
782895,1
782903,1
783102,1
783567,1
783570,1
783579,1
783580,1
783583,1
783584,1
783585,1
783587,1
783759,1
783769,1
783770,1
783772,1
783773,1
784016,1
784022,1
784025,1
784026,1
784028,1
784029,1
784369,1
784372,1
784374,1
784376,1
784377,1
784378,1
784380,1
784509,1
784511,1
784514,1
784588,1
784590,1
784602,1
784634,1
784635,1
784636,1
784637,1
784800,1
784824,1
784946,1
785023,1
785026,1
785032,1
785033,1
785049,1
785134,1
785135,1
785136,1
785137,1
785138,1
785148,1
785152,1
785468,1
785471,1
785475,1
785481,1
785485,1
785656,1
785658,1
785659,1
785916,1
785998,1
785999,1
786001,1
786002,1
786147,1
786150,1
786151,1
786307,1
786308,1
786338,1
786356,1
786357,1
786360,1
786368,1
786663,1
786669,1
787277,1
787280,1
787282,1
787283,1
787604,1
787609,1
787610,1
787904,1
787906,1
787962,1
787973,1
788060,1
788167,1
788439,1
788440,1
788441,1
788442,1
788464,1
788467,1
788489,1
788490,1
788493,1
788883,1
789185,1
789201,1
789206,1
789418,1
789970,1
789973,1
789978,1
790047,1
790165,1
790166,1
790169,1
790228,1
790229,1
790233,1
790287,1
790389,1
790390,1
790391,1
790434,1
790437,1
790438,1
790498,1
790499,1
790500,1
790503,1
790663,1
790665,1
790666,1
790669,1
790723,1
790725,1
790726,1
790729,1
790788,1
790789,1
790790,1
790791,1
790852,1
790856,1
790857,1
790976,1
790977,1
790979,1
791015,1
791038,1
791082,1
791083,1
791214,1
791292,1
791293,1
791522,1
791524,1
791525,1
791992,1
792006,1
792007,1
792010,1
792072,1
792077,1
792278,1
792279,1
792282,1
792290,1
792387,1
792388,1
792392,1
792671,1
792745,1
792751,1
792789,1
792812,1
793114,1
793115,1
793116,1
793857,1
793858,1
793859,1
793869,1
794159,1
794196,1
794200,1
794885,1
794890,1
794894,1
794929,1
794933,1
794936,1
795281,1
795282,1
795374,1
795383,1
795384,1
795385,1
795388,1
795448,1
795625,1
795630,1
795631,1
795633,1
795636,1
795752,1
795754,1
795787,1
795788,1
795947,1
795948,1
796350,1
796354,1
796357,1
796358,1
796359,1
796426,1
796697,1
796709,1
796712,1
796713,1
796715,1
796840,1
797085,1
797086,1
797089,1
797313,1
797335,1
797480,1
797618,1
797619,1
797621,1
797898,1
798345,1
798348,1
798386,1
798683,1
798691,1
799223,1
799253,1
799837,1
799945,1
799946,1
800032,1
800033,1
800036,1
800213,1
800235,1
800237,1
800332,1
800335,1
800417,1
800553,1
800597,1
800674,1
800676,1
800678,1
800691,1
800693,1
800711,1
800712,1
800714,1
800818,1
800819,1
800873,1
800875,1
801102,1
801104,1
801105,1
801509,1
801549,1
801565,1
801566,1
801791,1
801892,1
801893,1
801895,1
802142,1
802181,1
802336,1
802347,1
802385,1
802405,1
802682,1
802683,1
802684,1
803048,1
803049,1
803584,1
803585,1
803872,1
803875,1
804178,1
804179,1
804425,1
804612,1
804614,1
804621,1
804879,1
805196,1
805384,1
805398,1
805608,1
805721,1
805727,1
805746,1
805747,1
805760,1
805817,1
805836,1
805838,1
805839,1
805855,1
805857,1
805859,1
805860,1
805902,1
805903,1
805904,1
806008,1
806009,1
806011,1
806127,1
806130,1
806163,1
806175,1
806178,1
806235,1
806246,1
808723,1
809311,1
811514,1
812660,1
834485,1
835566,1
