qtcarga,OCOR
"Granel SÃ³lido",1
0,3
15761644,4
15863350,1
15863352,1
15863368,1
15863370,1
15863376,1
15863379,1
15863382,1
15863388,1
15863389,1
15863391,1
15863392,1
15863397,1
15863398,1
15863400,1
15863423,1
15863425,1
15863426,1
15863428,1
15863429,1
15863430,1
15863432,2
15864765,2
15865826,2
15865829,1
15865850,1
15865889,1
15865900,1
15865925,1
15865941,1
15865958,1
15865959,1
15866162,1
15876194,1
15876200,1
15876210,1
15878012,1
15878015,1
15878018,1
15878019,1
15878022,1
15878023,1
15878025,1
15878029,1
15878032,1
15878033,1
15878047,1
15878049,1
15878050,1
15878052,1
15878058,1
15878062,1
15878068,1
15878069,268
15965881,1
15965917,1
15965919,1
16006255,1
16006266,1
16006287,1
16006294,1
16006323,1
16008178,108
16008182,1
16008193,1
16008195,1
16010221,1
16010223,1
16013788,1
16013792,1
16013794,1
16013795,1
16013798,1
16013799,1
16013804,1
16013834,1
16013842,1
16013850,1
16015001,1
16015002,1
16016646,1
16024504,1
16032048,1
16032051,1
16032052,1
16032053,1
16032270,1
16032271,23
16032272,1
16032273,1
16032276,1
16032277,1
16032280,1
16032282,1
16032283,1
16032285,1
16032287,1
16036799,1
16036822,1
16037136,1
16037169,1
16050647,1
16050650,1
16050651,1
16050652,1
16050660,1
16053022,1
16053023,1
16053027,1
16053029,1
16053030,1
16053305,1
16072026,1
16075416,1
16075497,1
16082798,1
16116143,1
16116144,1
16116145,1
16116151,1
16116157,1
16116158,1
16116162,1
16116167,1
16116181,1
16116194,1
16116200,1
16116210,1
16116218,1
16116224,1
16172037,1
16175995,1
16176948,1
16176949,1
16176951,1
16177446,1
16179751,1
16179752,1
16179785,1
16183067,1
16183073,1
16183074,1
16183079,1
16183080,1
16183084,1
16183087,1
16189853,1
16200769,1
16200771,1
16200817,1
16200819,1
16200833,1
16200852,1
16200854,1
16201621,1
16202765,1
16202766,1
16202769,1
16249652,1
16252942,1
16252945,1
16259578,1
16263032,1
16263036,1
16263043,1
16266476,1
16266477,1
16273895,1
16273947,1
16275946,1
16341339,1
16341341,1
16341342,1
16341350,1
16341352,1
16341355,1
16341358,1
16341365,1
16341366,1
16341368,1
16341369,1
16341372,1
16341373,1
16341375,1
16341377,1
16341380,1
16341385,1
16341389,1
16341390,1
16341391,1
16341480,1
16341481,1
16341483,1
16341497,1
16341498,1
16341500,1
16341501,1
16341512,1
16341575,1
16341586,1
16341592,1
16341594,1
16341635,1
16342015,1
16342413,1
16349385,1
16349386,1
16349387,1
16351692,1
16351695,1
16351696,1
16351697,1
16351709,1
16351868,1
16351871,1
16351872,1
16351875,1
16351877,1
16351878,1
16351879,1
16351896,1
16351898,1
16352538,1
16352539,1
16352540,1
16352544,1
16353548,1
16353549,1
16353550,1
16353551,1
16353552,1
16357858,1
16369954,1
16369955,1
16369956,1
16374777,1
16374798,1
16374799,1
16374891,1
16378623,1
16415983,1
16416001,1
16429576,1
16435126,1
16435127,1
16435128,1
16439557,1
16439558,1
16440753,1
16440754,1
16440757,1
16440761,1
16500197,1
16500198,1
16500200,1
16500201,1
16504827,1
16504828,1
16518745,1
16526534,1
16526805,1
16526806,1
16527038,1
16533735,1
16533738,1
16533778,1
16533779,1
16533781,1
16533783,1
16533786,1
16533787,1
16533789,1
16533791,1
16533793,1
16606452,1
16606453,1
16658516,1
16658517,1
16661201,1
16661210,1
16681277,1
16681278,1
16682291,1
16682292,1
16684522,1
16684523,1
16685512,1
16685704,1
16686306,1
16686307,1
16686308,1
16690944,1
16691036,1
16691038,1
16691062,1
16691089,1
16691095,1
16691099,1
16691100,1
16691101,1
16691102,1
16691142,1
16691143,1
16691144,1
16691148,1
16691153,1
16691154,1
16691155,1
16691156,1
16691179,1
16691185,1
16691189,1
16691190,1
16691191,1
16691192,1
16691194,1
16691195,1
16691196,1
16691199,1
16691200,1
16700195,1
16700198,1
16703469,1
16703778,1
16704258,1
16707304,1
16707312,1
16710854,1
16710855,1
16710856,1
16710858,1
16710860,1
16710861,1
16710862,1
16711004,1
16711006,1
16715741,1
16715742,1
16725905,1
16776622,1
16776623,1
16776624,1
16781109,1
16841101,1
16841105,1
16841106,1
16841112,1
16841245,1
16841716,1
16841718,1
16841732,1
16842424,1
16843344,1
16843347,1
16843502,1
16843505,1
16843506,1
16843707,1
16843708,1
16843709,1
16844474,1
16844477,1
16844478,1
16844480,1
16845203,1
16845288,1
16845289,1
16849544,1
16849602,1
16896758,1
16896760,1
16896766,1
16897387,1
16900497,1
16900534,1
16905545,1
16925509,1
16925512,1
16925513,1
16926462,1
16926471,1
16948084,1
16948097,1
16971143,1
16973101,1
17001291,1
17005033,1
17005037,1
17005038,1
17005039,1
17005041,1
17005477,1
17005479,1
17005480,1
17014184,1
17014187,1
17014188,1
17014191,1
17026678,1
17026681,1
17026683,1
17026685,1
17026686,1
17026687,1
17026689,1
17026982,1
17026984,3
17027476,1
17027491,1
17031189,1
17033977,1
17035105,1
17039217,1
17039230,1
17039234,1
17048325,1
17048327,1
17048328,1
17104196,1
17105294,1
17108883,1
17108886,1
17108887,1
17109643,1
17116686,1
17117685,1
17126683,1
17129586,1
17129587,1
17129607,1
17129610,1
17129634,1
17129638,1
17160400,1
17160416,1
17160421,1
17180643,1
17180644,1
17180645,1
17180646,1
17202503,1
17202506,1
17204111,1
17204417,1
17204418,1
17204421,1
17204694,1
17204698,1
17204994,1
17207072,1
17207182,1
17207187,1
17207257,1
17210207,1
17210584,1
17210585,1
17210639,1
17210668,1
17211223,1
17211893,1
17256301,1
17262566,1
17262568,1
17262569,1
17275455,1
17275476,1
17275653,1
17287696,1
17344434,1
17344435,1
17344471,1
17344478,1
17380217,1
17380218,1
17384468,1
17384470,1
17384501,1
17384502,1
17389061,1
17389062,1
17390300,1
17390304,1
17390307,1
17390309,1
17390604,1
17394205,1
17394218,1
17394224,1
17400020,1
17400022,1
17400028,1
17416470,1
17416501,1
17416502,1
17416503,1
17416511,1
17416515,1
17416516,1
17416526,1
17416528,1
17416530,1
17416531,1
17416533,1
17416534,1
17425800,1
17543086,1
17543454,1
17543455,1
17543942,1
17543946,1
17545847,1
17545848,1
17546937,1
17546939,1
17550565,1
17550568,1
17551086,1
17551294,1
17551295,1
17551296,1
17551297,1
17551585,1
17551661,1
17551663,1
17552154,1
17552170,1
17552525,1
17552528,1
17552930,1
17552931,1
17553627,1
17553629,1
17554043,1
17554046,1
17560200,1
17561524,1
17562031,1
17562032,1
17575382,1
17577655,1
17635448,1
17635449,1
17639130,1
17639131,1
17642190,1
17642193,1
17644110,1
17644111,1
17645190,1
17646738,1
17709402,1
17709432,1
17709916,1
17710046,1
17710171,1
17711933,1
17711935,1
17711936,1
17712688,1
17712690,1
17712692,1
17712693,1
17712753,1
17712754,1
17712854,1
17712856,1
17713173,1
17713176,1
17713196,1
17713197,1
17713223,1
17713226,1
17797891,1
17806650,1
17876887,1
17876888,1
17880751,1
18772879,1
18834804,1
2501,1
BRARE,1
BRBA003,1
BRBEL,1
BRMAO,1
BRPA001,1
BRRIG,1
BRRN001,1
BRSAL,1
BRSSA,1
BRSSZ,1
BRSUA,1
BRVDC,1
